ticker,company_name,listing_exchange,market_category,financial_status,security_type,instrument_status,rankable,adr_flag,etf_flag,quality_seed,contract_id,contract_id_status,approved_etf_product_type,approved_etf_sector,approved_etf_last_verified_at,source_id,identity_resolution_required,identity_resolution_reason
SRFM,Surf Air Mobility Inc. Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SRFM,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SRG,Seritage Growth Properties Class A Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SRG,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SRI,"Stoneridge, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SRI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SRL,Scully Royalty Ltd.,N,,,common_equity,eligible,True,N,N,,qrgf-resolution-required:N:SRL,requires_authoritative_resolution_before_L3,,,,nasdaq_trader_all_us_listed,True,instrument_resolution_required
SRPT,"Sarepta Therapeutics, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SRPT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SRRK,Scholar Rock Holding Corporation - Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SRRK,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SRTA,"Strata Critical Medical, Inc. - Class A Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SRTA,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SRTS,"Sensus Healthcare, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SRTS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SRXH,SRX Global Inc. Common Stock,A,,,common_equity,eligible,True,N,N,,nasdaqtrader:A:SRXH,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SRZN,"Surrozen, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SRZN,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SSB,SouthState Bank Corporation Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SSB,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SSBI,Summit State Bank - Common Stock,Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SSBI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SSD,"Simpson Manufacturing Company, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SSD,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SSII,SS Innovations International Inc. - Common Stock,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SSII,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SSM,Sono Group N.V. - Ordinary Shares,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SSM,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SSMR,Sunshine Silver Mining & Refining Company Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SSMR,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SSNC,"SS&C Technologies Holdings, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SSNC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SSP,E.W. Scripps Company (The) - Class A Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SSP,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SSRM,SSR Mining Inc. - Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SSRM,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SST,"System1, Inc. Class A Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SST,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SSTI,"SoundThinking, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SSTI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SSTK,"Shutterstock, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SSTK,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SSYS,"Stratasys, Ltd. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SSYS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
ST,Sensata Technologies Holding plc Ordinary Shares,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:ST,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
STAA,STAAR Surgical Company - Common Stock,Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:STAA,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
STAG,"Stag Industrial, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:STAG,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
STAK,STAK Inc. - Class A Ordinary Shares,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:STAK,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
STBA,"S&T Bancorp, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:STBA,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
STC,Stewart Information Services Corporation Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:STC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
