ticker,company_name,listing_exchange,market_category,financial_status,security_type,instrument_status,rankable,adr_flag,etf_flag,quality_seed,contract_id,contract_id_status,approved_etf_product_type,approved_etf_sector,approved_etf_last_verified_at,source_id
BYRN,"Byrna Technologies, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BYRN,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BYSI,"BeyondSpring, Inc. - Ordinary Shares",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BYSI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BZAI,"Blaize Holdings, Inc. - Common Stock",Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BZAI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BZFD,"BuzzFeed, Inc. - Class A Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BZFD,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BZH,"Beazer Homes USA, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:BZH,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
C,"Citigroup, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:C,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CAAP,Corporacion America Airports SA Common Shares,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CAAP,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CAAS,"China Automotive Systems, Inc. - Ordinary Share",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CAAS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CABA,"Cabaletta Bio, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CABA,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CABO,"Cable One, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CABO,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CAC,Camden National Corporation - Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CAC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CACC,Credit Acceptance Corporation - Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CACC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CACI,"CACI International, Inc. Class A Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CACI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CADL,"Candel Therapeutics, Inc. - Common Stock",Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CADL,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CAE,CAE Inc - Common Shares,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CAE,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CAES,"Cantor Equity Partners VII, Inc. - Class A Ordinary Shares",Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CAES,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CAG,"ConAgra Brands, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CAG,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CAH,"Cardinal Health, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CAH,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CAI,"Caris Life Sciences, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CAI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CAKE,The Cheesecake Factory Incorporated - Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CAKE,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
